"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CURD test with steps","create token","SUCCESS","2023-01-05T20:01:03.469Z[Europe/London]","0.0","0.85"
"Booking CURD test with steps","This will create a booking","SUCCESS","2023-01-05T20:01:04.321Z[Europe/London]","0.0","0.5"
"Booking CURD test with steps","Verify if the user was added to the application","SUCCESS","2023-01-05T20:01:04.823Z[Europe/London]","0.0","0.47"
"Booking CURD test with steps","This will update a booking","SUCCESS","2023-01-05T20:01:05.298Z[Europe/London]","0.0","0.51"
"Booking CURD test with steps","This will update a partial booking ","SUCCESS","2023-01-05T20:01:05.806Z[Europe/London]","0.0","0.49"
"Booking CURD test with steps","Verify if the booking  was updated partially","SUCCESS","2023-01-05T20:01:06.293Z[Europe/London]","0.0","0.45"
"Booking CURD test with steps","This will delete booking and verify booking is deleted","SUCCESS","2023-01-05T20:01:06.743Z[Europe/London]","0.0","0.94"
